time="2023-05-07T01:08:40+08:00" level=info msg="get with cache: cache miss, key=category-1-products-default-false"
time="2023-05-07T01:12:35+08:00" level=info msg="get with cache: cache miss, key=category-3-products-default-false"
time="2023-05-07T01:12:59+08:00" level=info msg="get with cache: cache miss, key=category-2-products-default-false"
time="2023-05-07T20:27:48+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T20:27:58+08:00" level=info msg="get with cache: cache miss, key=product:12"
time="2023-05-07T20:33:42+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T20:34:38+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T20:34:50+08:00" level=info msg="get with cache: cache miss, key=product:12"
time="2023-05-07T20:35:04+08:00" level=info msg="get with cache: cache miss, key=product:12"
time="2023-05-07T20:35:08+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:17:00+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:28:14+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:30:48+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:32:36+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:33:08+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:35:17+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:41:50+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:42:16+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:43:17+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:44:30+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:50:48+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:52:19+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:57:03+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T21:58:31+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:00:24+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:02:51+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:03:50+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:06:47+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:10:48+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:13:45+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:15:13+08:00" level=info msg="get with cache: cache miss, key=product:11"
time="2023-05-07T22:15:36+08:00" level=info msg="get with cache: cache miss, key=product:12"
time="2023-05-08T09:20:09+08:00" level=info msg="get with cache: cache miss, key=product:12"
